username,score,classification,total_posts,followers,posting_frequency,urgent_language,options_focus,day_trading_language,technical_analysis
RealisticPerspective,44.4,MODERATE_TRADER,30,19,10,8,3.0,0,4
BigBreakingWire,44.4,MODERATE_TRADER,30,5545,10,4,9.0,2,4
JohnsonRocket,44.4,MODERATE_TRADER,30,12,10,8,1.5,4,2
Proteus63,44.4,MODERATE_TRADER,30,70,10,8,4.5,0,4
HankHedgeHogFund,44.2,MODERATE_TRADER,45,105,10,6,9.0,0,2
PaidBashar,44.0,MODERATE_TRADER,31,357,10,4,4.5,0,0
117brandy,43.8,MODERATE_TRADER,30,21,10,8,3.0,0,0
LiquidThetaLEAPS,43.8,MODERATE_TRADER,108,935,10,4,9.0,0,0
FrankieSmilez,43.8,MODERATE_TRADER,30,1282,10,10,4.5,0,2
muldoon92,43.8,MODERATE_TRADER,30,143,10,2,9.0,2,2
HMBLinvestor,43.8,MODERATE_TRADER,30,21,10,10,0.0,4,1
oGambleoFuture,43.8,MODERATE_TRADER,30,124,10,6,3.0,0,0
ElliottwaveForecast,43.8,MODERATE_TRADER,64,48113,10,6,3.0,4,8
HeWhoLaughs,43.8,MODERATE_TRADER,30,143,10,8,3.0,2,1
ChipMcNipper,43.8,MODERATE_TRADER,30,46,10,10,7.5,0,0
Stocktwits,43.5,MODERATE_TRADER,31,862167,10,8,1.5,4,4
RichardMuller,43.1,MODERATE_TRADER,30,18920,10,4,1.5,4,6
neverdiejs,43.1,MODERATE_TRADER,30,39,10,2,10,4,4
thszda,43.1,MODERATE_TRADER,30,502,10,10,7.5,2,3
st0nkFact0r,43.1,MODERATE_TRADER,30,45,10,6,9.0,4,1
emeraldbayrider,43.1,MODERATE_TRADER,30,857,10,10,7.5,0,3
tkstockpicker,43.1,MODERATE_TRADER,34,746,10,6,1.5,2,1
Thinking101,42.8,MODERATE_TRADER,46,311,10,6,6.0,2,3
SPY_to_1000,42.8,MODERATE_TRADER,31,30,10,4,7.5,0,1
howardlindzon,42.7,MODERATE_TRADER,33,354144,10,6,1.5,2,4
SwingPlayers,42.6,MODERATE_TRADER,33,12114,10,6,6.0,2,1
surfmav,42.5,MODERATE_TRADER,30,175,10,6,3.0,0,3
deucestwits,42.5,MODERATE_TRADER,30,77,10,4,7.5,2,2
Siccest1,42.0,MODERATE_TRADER,35,374,10,4,9.0,2,0
Flickted,41.9,MODERATE_TRADER,30,97,10,6,6.0,0,0
LongGrowthAndValue,41.9,MODERATE_TRADER,32,104,10,4,4.5,0,3
MDavisUSF,41.9,MODERATE_TRADER,30,5,10,6,4.5,0,1
The_Bartender,41.9,MODERATE_TRADER,30,303,10,8,7.5,0,0
Jon66Trade,41.9,MODERATE_TRADER,30,215,10,4,1.5,0,2
BigMoneyBenjamins,41.2,MODERATE_TRADER,30,856,10,8,6.0,2,0
fvbusiness,41.2,MODERATE_TRADER,30,162,10,6,1.5,0,1
asbpame,41.2,MODERATE_TRADER,30,44,10,4,4.5,2,3
Rodzilla01,41.2,MODERATE_TRADER,32,5873,10,4,6.0,0,1
Bgirl_smirk,41.2,MODERATE_TRADER,32,604,10,6,3.0,2,2
Olddrache,41.2,MODERATE_TRADER,33,1700,10,4,3.0,0,6
Addicted2Stockz,41.2,MODERATE_TRADER,30,1202,10,8,9.0,0,0
2019Vtrader2025,41.2,MODERATE_TRADER,30,69,10,6,1.5,2,3
GoAt2OG,41.2,MODERATE_TRADER,30,45,10,6,7.5,0,0
DavidFloydTrader,41.2,MODERATE_TRADER,30,25505,10,6,4.5,0,6
Greenhorn192419301946,40.8,MODERATE_TRADER,34,64,10,8,3.0,0,1
StocktwitsNews,40.6,MODERATE_TRADER,47,82357,10,4,4.5,8,5
Idiamondw,40.6,MODERATE_TRADER,30,35,10,6,6.0,0,1
Bear_Police,40.6,MODERATE_TRADER,30,101,10,6,4.5,0,2
jdcalls1,40.6,MODERATE_TRADER,30,205,10,6,7.5,0,3
HostileCharts,40.6,MODERATE_TRADER,30,53904,10,6,4.5,4,4
BeChoosy,40.5,MODERATE_TRADER,32,153,10,4,9.0,4,2
Sideburn,40.3,MODERATE_TRADER,32,155,10,8,1.5,0,3
Iwillbuy,40.0,MODERATE_TRADER,30,117,10,8,3.0,0,1
1_TopGainer,40.0,MODERATE_TRADER,30,33,10,6,3.0,4,2
DavyDaveCharts,40.0,MODERATE_TRADER,38,2914,10,6,4.5,2,4
Dietl,40.0,MODERATE_TRADER,30,75,10,10,7.5,0,1
Nomorelies,40.0,MODERATE_TRADER,30,161,10,4,3.0,4,0
AshHydrogen,39.7,MODERATE_TRADER,31,1722,10,4,1.5,0,2
ODucks,39.4,MODERATE_TRADER,30,42,10,8,6.0,0,0
Rtcs,39.4,MODERATE_TRADER,30,21,10,8,4.5,0,1
Franky1977,39.4,MODERATE_TRADER,30,9,10,8,1.5,0,2
WokeST99,39.4,MODERATE_TRADER,30,11,10,8,1.5,2,2
BostonNorth,39.4,MODERATE_TRADER,29,142,10,8,1.5,2,0
JohnStuartMill,39.4,MODERATE_TRADER,30,49,10,8,1.5,0,2
GordonGekko888,39.4,MODERATE_TRADER,30,6705,10,4,4.5,2,1
IBIRIEAIK91,39.4,MODERATE_TRADER,30,14,10,4,7.5,2,2
TaylorTwits,38.9,MODERATE_TRADER,37,210,10,8,6.0,0,1
WinstonChurshill,38.8,MODERATE_TRADER,30,272,10,4,4.5,0,1
Justrise07,38.8,MODERATE_TRADER,30,68,10,8,3.0,0,2
dailyslapz,38.8,MODERATE_TRADER,31,115,10,6,3.0,0,2
Albino_Trader123,38.8,MODERATE_TRADER,30,305,10,10,3.0,2,2
THE_TRENDMASTERS,38.8,MODERATE_TRADER,30,85,10,6,6.0,2,4
eclipse6969,38.8,MODERATE_TRADER,30,14,10,4,4.5,0,2
Undertaker2025,38.8,MODERATE_TRADER,30,4,10,6,4.5,0,1
bluedevil84,38.8,MODERATE_TRADER,30,12,10,2,9.0,0,0
ChessGM,38.6,MODERATE_TRADER,31,696,10,4,6.0,2,3
Timmiee,38.4,MODERATE_TRADER,31,351,10,4,4.5,0,2
yordy,38.2,MODERATE_TRADER,29,7,10,4,6.0,2,2
PolymathMan,38.1,MODERATE_TRADER,30,2,10,4,4.5,0,2
TalkMarkets,38.1,MODERATE_TRADER,68,31567,10,4,6.0,4,4
Dietlinde38,38.1,MODERATE_TRADER,30,74,10,8,1.5,0,1
cubie,38.1,MODERATE_TRADER,38,9069,10,6,4.5,0,0
valuesense_io,38.1,MODERATE_TRADER,30,33,10,8,1.5,2,4
T0Fund,38.1,MODERATE_TRADER,30,31,10,4,9.0,2,2
lk90046,37.8,MODERATE_TRADER,32,498,10,0,7.5,0,3
NioEVisBestEv,37.5,MODERATE_TRADER,30,8,10,6,4.5,0,1
GoldmanSlaps,37.5,MODERATE_TRADER,30,547,10,4,3.0,2,1
Twwwwww,37.5,MODERATE_TRADER,31,14,10,6,3.0,0,1
JDKING,37.5,MODERATE_TRADER,32,953,10,4,3.0,2,1
ShowMeDemGains,37.5,MODERATE_TRADER,30,87,10,6,3.0,0,1
CycleTrade,37.3,MODERATE_TRADER,31,65109,10,8,3.0,0,3
MikeCaymanTrades,37.2,MODERATE_TRADER,33,4427,10,4,1.5,0,2
WAJeff,37.0,MODERATE_TRADER,32,436,10,8,1.5,0,4
HotNHornyBoy,36.9,MODERATE_TRADER,30,96,10,8,3.0,0,2
laurenlee,36.9,MODERATE_TRADER,30,57,10,6,3.0,0,1
MT25,36.9,MODERATE_TRADER,30,7,10,6,4.5,0,2
AnthonyMansauce,36.9,MODERATE_TRADER,30,19,10,8,3.0,0,2
CaseyJones79,36.9,MODERATE_TRADER,30,2,10,8,3.0,0,0
BIGPJCANSECO,36.9,MODERATE_TRADER,30,98,10,6,1.5,0,0
Smnorgy1,36.9,MODERATE_TRADER,30,8,10,2,4.5,0,1
Shanthi_Rexaline,36.9,MODERATE_TRADER,30,212,10,4,4.5,2,2
raven3,36.9,MODERATE_TRADER,30,392,10,4,4.5,0,3
NasNas_2020,36.9,MODERATE_TRADER,30,243,10,8,1.5,0,1
ibuyanditfly,36.9,MODERATE_TRADER,30,81,10,4,4.5,0,1
SonGoku,36.4,MODERATE_TRADER,32,9984,10,8,4.5,0,1
f9PG474mgLYEyL3,36.2,MODERATE_TRADER,30,26,10,6,3.0,0,0
Nova_Trades,36.2,MODERATE_TRADER,30,165,10,8,1.5,4,3
Dropline,36.2,MODERATE_TRADER,30,399,10,4,3.0,0,0
AlphaTrader8,36.2,MODERATE_TRADER,30,1678,10,2,3.0,2,3
GetStraightSendy,36.2,MODERATE_TRADER,30,30,10,4,7.5,2,2
PickAlpha,36.2,MODERATE_TRADER,31,2,10,2,6.0,0,1
Elmoknowsstocks,36.2,MODERATE_TRADER,30,167,10,4,0.0,4,3
biostock,35.6,MODERATE_TRADER,30,1400,10,4,3.0,4,0
IN0V8,35.6,MODERATE_TRADER,31,428,10,6,4.5,4,3
ThatTrendingTrader,35.6,MODERATE_TRADER,30,32,10,6,1.5,2,0
Algorithm2024,35.6,MODERATE_TRADER,30,54,10,4,6.0,4,3
eclass,35.6,MODERATE_TRADER,30,866,10,0,7.5,0,1
Rainfall_investments,35.6,MODERATE_TRADER,30,6,10,6,1.5,2,0
shaf1987,35.0,MODERATE_TRADER,30,2,10,2,4.5,0,2
QuantLake,35.0,MODERATE_TRADER,39,200,10,4,3.0,4,7
MONSTER_MOVER_STOCKS,35.0,MODERATE_TRADER,30,4206,10,8,1.5,4,2
HOODisthefuture,35.0,MODERATE_TRADER,38,31,10,4,3.0,0,1
Painfultrade,35.0,MODERATE_TRADER,30,22,10,6,6.0,0,1
BornKing,35.0,MODERATE_TRADER,30,883,10,2,1.5,0,0
r0r0thegr8,34.9,MODERATE_TRADER,31,86,10,6,6.0,0,0
jjsurf8311,34.9,MODERATE_TRADER,46,518,10,4,0.0,0,0
RonaldRR,34.9,MODERATE_TRADER,33,36,10,6,6.0,0,0
inspector_gadget86,34.7,MODERATE_TRADER,33,480,10,6,3.0,0,2
Jackofdiamonds,34.4,MODERATE_TRADER,30,16,10,6,1.5,0,0
bradtlc,34.4,MODERATE_TRADER,30,133,10,6,0.0,0,2
Spartan2025,34.4,MODERATE_TRADER,30,0,10,6,1.5,0,0
Kornie7,34.4,MODERATE_TRADER,33,13677,10,2,1.5,0,2
TrendTracer,34.4,MODERATE_TRADER,31,303,10,8,1.5,2,6
toro7,34.4,MODERATE_TRADER,30,10,10,10,0.0,0,0
MaxwellEdison,34.4,MODERATE_TRADER,30,27,10,6,4.5,0,1
SSshortattack,33.8,MODERATE_TRADER,30,28,10,8,3.0,0,0
Iceman467,33.8,MODERATE_TRADER,30,100,10,6,4.5,0,0
Kalns,33.8,MODERATE_TRADER,30,101,10,4,3.0,0,1
Dahod,33.8,MODERATE_TRADER,30,41,10,4,3.0,0,0
2x_Overhead,33.8,MODERATE_TRADER,30,87,10,4,3.0,0,1
Bobjsn,33.8,MODERATE_TRADER,30,69,10,6,4.5,0,0
Ed_Ng,33.8,MODERATE_TRADER,36,57,10,8,3.0,0,1
PutsOnMyself,33.8,MODERATE_TRADER,30,38,10,8,4.5,0,0
CryptoSlayerr,33.7,MODERATE_TRADER,32,182,10,6,1.5,0,1
Thelonius_Stonk,33.5,MODERATE_TRADER,34,8631,10,4,3.0,0,1
JFDI,33.2,MODERATE_TRADER,37,92999,10,6,1.5,0,3
MomentumWins,33.1,MODERATE_TRADER,30,673,10,4,7.5,0,0
Jrizzlemoney,33.1,MODERATE_TRADER,30,56,10,4,3.0,0,0
Geestar,33.1,MODERATE_TRADER,30,105,10,6,4.5,0,2
smash2020,33.1,MODERATE_TRADER,30,20,10,4,3.0,2,3
_Nobody,33.1,MODERATE_TRADER,30,22,10,2,4.5,2,1
VanClan,33.1,MODERATE_TRADER,30,7,10,8,1.5,0,1
Basti0609,33.1,MODERATE_TRADER,30,77,10,6,3.0,0,0
PittsburghTrader,33.1,MODERATE_TRADER,30,830,10,6,1.5,0,1
Stock_Catcher,33.0,MODERATE_TRADER,31,6627,10,4,1.5,0,0
Reanimated666,33.0,MODERATE_TRADER,31,116,10,6,1.5,2,4
Elliottwave_Trading,32.5,MODERATE_TRADER,31,877,10,6,3.0,2,5
Thelastride02,32.5,MODERATE_TRADER,30,5,10,6,1.5,6,1
Wolfofwits,32.5,MODERATE_TRADER,32,2139,10,6,0.0,0,0
FinancialLibertyforAll,31.9,MODERATE_TRADER,15,14,10,6,1.5,4,0
Andrestackz,31.9,MODERATE_TRADER,30,47,10,8,1.5,2,3
Kennynails,31.9,MODERATE_TRADER,30,162,10,4,1.5,2,0
EntangleU,31.9,MODERATE_TRADER,30,199,10,8,3.0,0,1
mrpocket,31.9,MODERATE_TRADER,30,507,10,0,3.0,2,1
ArcValueTrade,31.9,MODERATE_TRADER,30,3617,10,2,0.0,0,3
Bryan2142B,31.9,MODERATE_TRADER,30,33,10,6,3.0,0,0
MrMinusHands,31.9,MODERATE_TRADER,2,13,3,6,0.0,0,0
GettnFibbywIT,31.9,MODERATE_TRADER,37,246,10,4,4.5,0,5
OrderBlockHead,31.8,MODERATE_TRADER,32,32,10,0,1.5,6,0
onlythebestcompanies,31.4,MODERATE_TRADER,32,22,10,4,4.5,0,1
kindness123,31.3,MODERATE_TRADER,33,616,10,6,1.5,0,3
RICHES_TO_RAGS_,31.2,MODERATE_TRADER,30,387,10,4,6.0,0,0
jewell69,31.2,MODERATE_TRADER,30,2545,10,8,1.5,2,2
Barpwlex,31.2,MODERATE_TRADER,30,12,10,4,3.0,0,0
trendtrader6,31.2,MODERATE_TRADER,31,651,10,4,1.5,2,3
DinoMcnuggets,31.2,MODERATE_TRADER,2,1059,3,6,0.0,0,0
Doozio,31.1,MODERATE_TRADER,31,47319,10,4,3.0,0,2
MURPHYSLAWACTIVATED,30.6,MODERATE_TRADER,30,21,10,4,4.5,0,2
Money_Banks,30.6,MODERATE_TRADER,30,193,10,2,7.5,2,1
pocketmoney,30.6,MODERATE_TRADER,30,404,10,2,1.5,2,1
CasperPuff,30.6,MODERATE_TRADER,30,39,10,4,3.0,0,1
dennismccain,30.6,MODERATE_TRADER,2,8785,3,0,0.0,0,1
Nadjmehchi,30.0,MODERATE_TRADER,30,151,10,6,1.5,2,0
Sasquamch,30.0,MODERATE_TRADER,30,68,10,6,1.5,2,0
Peaceouty,30.0,MODERATE_TRADER,30,107,10,2,3.0,0,1
SwingTrader48,30.0,MODERATE_TRADER,10,1,10,0,4.5,0,0
AlphaByAI,30.0,MODERATE_TRADER,30,38,10,6,3.0,0,2
spencerbenson,30.0,MODERATE_TRADER,1,0,0,0,6.0,4,4
OpenOutcrier,30.0,MODERATE_TRADER,31,211093,10,4,9.0,0,1
